"RA"	"RT."	"TREE_CODE"	"INV"	"CREW"	"DATE"	"DBH"	"HT"	"LLC"	"COND"	"ST"	"LI"	"CC"	"CAV"	"NOTES"
9.00	78.00	"QURU"	4.00	"DH; KS"	7/21/2011 0:00:00	46.80	26.40	14.60	0.00	"B"	3		"N"	
9.00	79.00	"QURU"	1.00	"TS"	5/18/1998 0:00:00	52.60	26.40	15.65				"C"	"0"	
9.00	79.00	"QURU"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	54.30	24.60	11.00	0.00			"D"	"0"	
9.00	79.00	"QURU"	3.00		8/1/2007 0:00:00	57.20	26.90	11.60	0.00	"B"	2		"N"	
9.00	79.00	"QURU"	4.00	"DH; KS"	7/21/2011 0:00:00	59.80	30.20	12.50	0.00	"B"	3		"N"	
9.00	80.00	"PIST"	1.00	"TS"	5/19/1998 0:00:00	58.70	28.92	9.80				"D"	"0"	
9.00	80.00	"PIST"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	61.10	29.00	17.70	0.00			"D"	"0"	
9.00	80.00	"PIST"	3.00		8/1/2007 0:00:00	63.10	31.80	17.50	0.00	"A"	3		"N"	
9.00	80.00	"PIST"	4.00	"DH; KS"	7/21/2011 0:00:00	65.10	32.10	18.50	0.00	"B"	4		"N"	
9.00	81.00	"PIST"	1.00	"TS"	5/19/1998 0:00:00	73.40	26.10	14.35				"D"	"0"	
9.00	81.00	"PIST"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	76.60	28.80	15.00	0.00			"D"	"0"	
9.00	81.00	"PIST"	3.00		8/1/2007 0:00:00	78.90	32.00	15.40	0.00	"A"	4		"N"	
9.00	81.00	"PIST"	4.00	"DH; KS"	7/21/2011 0:00:00	80.90	30.40	15.60	0.00	"B"	4		"N"	
9.00	82.00	"PIST"	1.00	"TS"	5/19/1998 0:00:00	70.00	31.01	15.66				"C"	"0"	
