"RA"	"RT."	"TREE_CODE"	"INV"	"CREW"	"DATE"	"DBH"	"HT"	"LLC"	"COND"	"ST"	"LI"	"CC"	"CAV"	"NOTES"
9.00	39.00	"PIST"	1.00	"TS, SG"	3/3/1998 0:00:00	57.90	27.94	15.64				"D"	"0"	
9.00	39.00	"PIST"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	61.90	26.10	16.70	0.00			"D"	"0"	
9.00	39.00	"PIST"	3.00		8/1/2007 0:00:00	65.30	32.50	15.70	0.00	"A"	5		"N"	
9.00	39.00	"PIST"	4.00	"DH; KS"	7/20/2011 0:00:00	68.10	32.70	16.10	0.00	"B"	4		"N"	
9.00	40.00	"PIRU"	1.00	"TS, SG"	4/30/1998 0:00:00	44.70	19.88	11.13				"C"	"1"	
9.00	40.00	"PIRU"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	45.60	18.90	5.70	2.00			"C"	"1"	
9.00	40.00	"PIRU"	3.00		8/1/2007 0:00:00	46.60	20.50	10.40	2.00	"B"	2		"Y"	
9.00	40.00	"PIRU"	4.00	"DH; KS"	7/20/2011 0:00:00	47.10	21.10	13.30	4.00	"C"	3		"Y"	
9.00	41.00	"PIRU"	1.00	"TS, SG"	4/30/1998 0:00:00	38.90	22.76	16.79				"D"	"0"	
9.00	41.00	"PIRU"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	39.70	23.70	10.30	0.00			"D"	"0"	
9.00	41.00	"PIRU"	3.00		8/1/2007 0:00:00	40.80	24.50	12.70	0.00	"B"	2		"N"	
9.00	41.00	"PIRU"	4.00	"DH; KS"	7/20/2011 0:00:00	40.50	23.10	12.00	0.00	"B"	2		"N"	"HT Correct"
9.00	42.00	"TSCA"	1.00	"TS, SG"	4/30/1998 0:00:00	47.20	24.38	15.89				"C"	"0"	
9.00	42.00	"TSCA"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	48.90	25.30	14.50	0.00			"C"	"0"	
9.00	42.00	"TSCA"	3.00		8/1/2007 0:00:00	51.30	26.10	11.20	0.00	"B"	1		"N"	
9.00	42.00	"TSCA"	4.00	"DH; KS"	7/20/2011 0:00:00	54.20	26.30	14.40	0.00	"B"	2		"N"	
9.00	43.00	"PIST"	1.00	"TS, SG"	4/30/1998 0:00:00	66.80	27.02	18.10				"D"	"0"	
9.00	43.00	"PIST"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	71.60	24.00	9.60	0.00			"D"	"0"	
9.00	43.00	"PIST"	3.00		8/1/2007 0:00:00	76.20	28.00	12.80	0.00	"A"	4		"N"	
9.00	43.00	"PIST"	4.00	"DH; KS"	7/20/2011 0:00:00	79.80	29.00	11.30	0.00	"B"	4		"N"	
9.00	44.00	"PIST"	1.00	"TS, SG"	4/30/1998 0:00:00	71.90	27.90	14.39				"D"	"0"	
9.00	44.00	"PIST"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	73.40	26.90	15.60	0.00			"D"	"0"	
9.00	44.00	"PIST"	3.00		8/1/2007 0:00:00	76.60	34.10	15.50	0.00	"A"	4		"N"	
9.00	44.00	"PIST"	4.00	"DH; KS"	7/20/2011 0:00:00	78.20	32.40	14.80	0.00	"B"	4		"N"	
9.00	45.00	"PIST"	1.00	"TS, SG"	4/30/1998 0:00:00	73.20	30.09	20.88				"D"	"0"	
9.00	45.00	"PIST"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	76.00	29.10	11.60	0.00			"D"	"0"	
9.00	45.00	"PIST"	3.00		8/1/2007 0:00:00	77.60	32.20	17.70	0.00	"A"	4		"N"	
9.00	45.00	"PIST"	4.00	"DH; KS"	7/20/2011 0:00:00	80.40	32.40	16.70	0.00	"B"	4		"N"	
9.00	46.00	"PIRU"	1.00	"TS, SG"	4/30/1998 0:00:00	40.60	25.67	15.68				"C"	"0"	
9.00	46.00	"PIRU"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	31.20	25.60	16.10	4.00			"C"	"0"	
9.00	46.00	"PIRU"	3.00		8/1/2007 0:00:00				9.00					
9.00	47.00	"PIST"	1.00	"TS, SG"	4/30/1998 0:00:00	71.10	31.62	18.71				"D"	"0"	
9.00	47.00	"PIST"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	74.80	29.30	16.30	0.00			"D"	"0"	
9.00	47.00	"PIST"	3.00		8/1/2007 0:00:00	77.50	30.40	15.90	0.00	"A"	5		"N"	
9.00	47.00	"PIST"	4.00	"DH; KS"	7/20/2011 0:00:00	79.70	32.70	16.00	0.00	"B"	5		"N"	
9.00	48.00	"TSCA"	1.00	"TS, SG"	4/30/1998 0:00:00	51.80	25.08	15.67				"I"	"0"	
9.00	48.00	"TSCA"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	54.10	23.40	8.90	0.00			"C"	"0"	
9.00	48.00	"TSCA"	3.00		8/1/2007 0:00:00	56.40	25.80	9.80	0.00	"B"	1		"N"	
