"RA"	"PLOT"	"S."	"TREE_CODE"	"ORG"	"AZIM"	"DIST"	"ALIAS"	"OS."	"NOTES"
3.00	"F3"	22.00	"TSCA"		60.00	5.62			
3.00	"F3"	23.00	"TSCA"		60.00	5.60			
3.00	"F3"	24.00	"TSCA"		90.00	5.09			
3.00	"F3"	25.00	"ABBA"		94.00	5.20			
3.00	"F3"	26.00	"ABBA"		113.00	5.41			
3.00	"F3"	27.00	"ABBA"		123.00	5.57			
3.00	"F3"	28.00	"ABBA"		130.00	3.22			
3.00	"F3"	29.00	"ABBA"		338.00	4.21			
3.00	"F3"	30.00	"ABBA"		314.00	4.48			
3.00	"F3"	31.00	"ABBA"		341.00	2.56			
3.00	"F3"	32.00	"TSCA"		306.00	2.22			
3.00	"F3"	33.00	"ABBA"		303.00	4.02			
3.00	"F3"	34.00	"ABBA"		275.00	2.88			
3.00	"F3"	35.00	"OSVI"		281.00	4.87			
3.00	"F3"	36.00	"ABBA"		206.00	5.43			
3.00	"F3"	37.00	"PIST"		265.00	4.18			
3.00	"F3"	38.00	"TSCA"		231.00	4.41			
3.00	"F3"	39.00	"TSCA"		213.00	2.00			
3.00	"F3"	40.00	"TSCA"		96.00	2.37			
3.00	"F3"	41.00	"TSCA"		86.00	3.28			
3.00	"F3"	42.00	"TSCA"		94.00	3.99			
3.00	"F3"	43.00	"TSCA"		86.00	4.09			
3.00	"F3"	44.00	"TSCA"		81.00	4.19			
3.00	"F3"	45.00	"TSCA"		70.00	5.13			
3.00	"F3"	46.00	"ABBA"		51.00	5.36			
3.00	"F3"	47.00	"ABBA"		37.00	4.76			
3.00	"F3"	48.00	"TSCA"		34.00	2.90			
3.00	"F3"	49.00	"ABBA"		21.00	3.53			
3.00	"F3"	50.00	"ABBA"		7.00	2.95			
3.00	"F3"	51.00	"ABBA"		2.00	3.52			
3.00	"F3"	52.00	"ABBA"		328.00	3.19			
3.00	"F4"	1.00	"TSCA"		239.00	4.55			
3.00	"F4"	2.00	"ACSA"		215.00	3.17			
3.00	"G3"	1.00	"ABBA"						
3.00	"G3"	2.00	"ABBA"						
3.00	"G3"	3.00	"FRAM"		253.00	5.62			
3.00	"G3"	4.00	"ABBA"						
3.00	"G3"	5.00	"BEAL"						
3.00	"G4"	1.00	"ABBA"		295.00	3.74			
3.00	"G4"	2.00	"ABBA"						
3.00	"G4"	3.00	"ABBA"						
3.00	"G4"	4.00	"ABBA"						
3.00	"G4"	5.00	"ABBA"						
3.00	"G4"	6.00	"ABBA"						
3.00	"H2"	1.00	"THOC"					53.00	
3.00	"H2"	2.00	"ABBA"		86.00	1.83			
3.00	"H2"	3.00	"ABBA"		316.00	3.86			
3.00	"H2"	4.00	"ABBA"		327.00	5.52			
3.00	"H2"	5.00	"ABBA"		337.00	3.26			
3.00	"H2"	6.00	"ABBA"		359.00	2.19			
3.00	"H3"	1.00	"ABBA"		191.00	5.01		58.00	
3.00	"H3"	2.00	"THOC"		240.00	5.18			
3.00	"J3"	1.00	"ABBA"		171.00	4.65			
3.00	"J3"	2.00	"ABBA"		180.00	3.46			
3.00	"J3"	3.00	"ABBA"		193.00	3.39			
3.00	"J3"	4.00	"ABBA"		205.00	5.21			
3.00	"J3"	5.00	"ABBA"						
3.00	"J3"	6.00	"ABBA"		261.00	4.91			
3.00	"J3"	7.00	"ABBA"		285.00	0.42			
3.00	"J3"	8.00	"ABBA"		296.00	2.57			
3.00	"J3"	9.00	"ABBA"		286.00	3.62			
3.00	"J3"	10.00	"ABBA"						
3.00	"J3"	11.00	"ABBA"		340.00	1.94			
3.00	"J3"	12.00	"ABBA"						
3.00	"J3"	13.00	"ABBA"		334.00	4.84			
3.00	"J3"	14.00	"ABBA"		352.00	4.55			
3.00	"J3"	15.00	"ABBA"						
3.00	"J3"	16.00	"ABBA"		207.00	2.69			
3.00	"J3"	17.00	"ABBA"		249.00	4.16			
3.00	"J3"	18.00	"ABBA"		148.00	3.75			
3.00	"J3"	19.00	"ABBA"		125.00	4.78			
3.00	"J3"	20.00	"ABBA"		175.00	5.75			
3.00	"J3"	21.00	"ABBA"						
3.00	"J3"	22.00	"THOC"		152.00	4.20			
3.00	"J3"	23.00	"ABBA"		149.00	5.72			
3.00	"J3"	24.00	"THOC"		307.00	5.62			
3.00	"J4"	1.00	"ABBA"		345.00	1.20			
3.00	"J4"	2.00	"ABBA"						
3.00	"J4"	3.00	"ABBA"		224.00	5.37			
3.00	"J4"	4.00	"ABBA"		278.00	4.55			
3.00	"J4"	5.00	"ABBA"		305.00	5.17			
3.00	"J4"	6.00	"ABBA"		338.00	3.15			
3.00	"J4"	7.00	"ABBA"		332.00	5.12			
3.00	"J4"	8.00	"ABBA"		351.00	5.11			
4.00	"A10"	1.00	"ABBA"						
4.00	"A10"	2.00	"ABBA"		149.00	4.52			
4.00	"A10"	3.00	"ABBA"		187.00	3.14			
4.00	"A10"	4.00	"ABBA"		191.00	5.10			
4.00	"A10"	5.00	"ABBA"		225.00	3.01			
4.00	"A10"	6.00	"PIRU"		305.00	1.18			
4.00	"A10"	7.00	"ACSA"						
4.00	"A10"	8.00	"ABBA"		284.00	4.65			
4.00	"A10"	9.00	"ABBA"						
4.00	"A10"	10.00	"ACRU"		296.00	5.15			
4.00	"A10"	11.00	"ACRU"					55.00	
4.00	"A10"	12.00	"ABBA"		321.00	4.26			
4.00	"A10"	13.00	"ABBA"		341.00	4.71			
4.00	"A10"	14.00	"ABBA"		3.00	4.05			
4.00	"A10"	15.00	"ABBA"		13.00	5.22			
4.00	"A10"	16.00	"ABBA"		14.00	5.01			
4.00	"A10"	17.00	"ABBA"		25.00	2.72			
4.00	"A10"	18.00	"ABBA"		20.00	4.14			
4.00	"A10"	19.00	"ABBA"		35.00	3.68			
4.00	"A10"	20.00	"ABBA"		38.00	4.13			
4.00	"A10"	21.00	"ABBA"		45.00	3.76			
4.00	"A10"	22.00	"ABBA"		50.00	4.09			
4.00	"A10"	23.00	"ABBA"		47.00	5.42			
4.00	"A10"	24.00	"ABBA"		56.00	3.33			
4.00	"A10"	25.00	"ABBA"		75.00	2.28			
4.00	"A10"	26.00	"ABBA"		111.00	0.92			
4.00	"A10"	27.00	"PIRU"		284.00	1.35			
4.00	"A10"	28.00	"ABBA"		69.00	3.27			
4.00	"A10"	29.00	"ABBA"		80.00	3.69			
4.00	"A10"	30.00	"ABBA"		105.00	2.20			
4.00	"A10"	31.00	"ABBA"		151.00	1.73			
4.00	"A10"	32.00	"ABBA"		155.00	3.75			
4.00	"A10"	33.00	"ABBA"		85.00	3.12			
4.00	"A10"	34.00	"ABBA"		268.00	2.72			
4.00	"A10"	35.00	"ABBA"						
4.00	"A10"	36.00	"ABBA"		117.00	3.34			
4.00	"A10"	37.00	"ABBA"		91.00	2.02			
4.00	"A10"	38.00	"ABBA"						
4.00	"A10"	39.00	"ABBA"						
4.00	"A10"	40.00	"ABBA"		29.00	2.13			
4.00	"A10"	41.00	"ABBA"		329.00	2.77			
4.00	"A10"	42.00	"ABBA"		50.00	2.27			
4.00	"A10"	43.00	"ABBA"		298.00	5.22			
4.00	"A10"	44.00	"ABBA"		232.00	4.99			
4.00	"A10"	45.00	"TSCA"		187.00	4.40			
4.00	"A10"	46.00	"ABBA"		153.00	3.01			
4.00	"A10"	47.00	"ABBA"		133.00	2.58			
4.00	"A10"	48.00	"ABBA"		67.00	5.44			
4.00	"A2"	1.00	"ACRU"						
4.00	"A2"	2.00	"TSCA"		311.00	3.80			
4.00	"A2"	3.00	"TSCA"		355.00	3.38			
4.00	"A2"	4.00	"ACRU"					74.00	
4.00	"A2"	5.00	"ACRU"	"S"	157.00	3.43			
4.00	"A2"	6.00	"TSCA"		200.00	4.86			
4.00	"A2"	7.00	"TSCA"		313.00	4.14			
4.00	"A4"	1.00	"TSCA"					39.00	
4.00	"A4"	2.00	"ABBA"						
4.00	"A4"	3.00	"ABBA"		197.00	3.70			
4.00	"A4"	4.00	"ABBA"		197.00	4.17			
4.00	"A4"	5.00	"ABBA"		218.00	5.36			
4.00	"A4"	6.00	"ABBA"						
4.00	"A4"	7.00	"ABBA"		188.00	2.45			
4.00	"A4"	8.00	"ABBA"		181.00	2.90			
4.00	"A4"	9.00	"ABBA"		311.00	4.92			
4.00	"A4"	10.00	"ABBA"		288.00	4.34			
4.00	"A4"	11.00	"ABBA"		222.00	3.27			
4.00	"A4"	12.00	"TSCA"		243.00	4.02			
4.00	"A4"	13.00	"ABBA"		219.00	4.14			
4.00	"A4"	14.00	"TSCA"		281.00	2.77			
4.00	"A4"	15.00	"TSCA"		256.00	4.21			
4.00	"A4"	16.00	"TSCA"		265.00	2.93			
4.00	"A4"	17.00	"ABBA"		264.00	2.37			
4.00	"A4"	18.00	"ABBA"		235.00	2.70			
4.00	"A4"	19.00	"ABBA"		209.00	4.64			
4.00	"A4"	20.00	"ABBA"		187.00	1.55			
4.00	"A4"	21.00	"TSCA"		170.00	4.85			
4.00	"A4"	22.00	"TSCA"		182.00	5.38			
4.00	"A4"	23.00	"TSCA"		238.00	5.57			
4.00	"A4"	24.00	"ABBA"		297.00	5.35			
4.00	"A4"	25.00	"ABBA"		318.00	5.60			
4.00	"A5"	1.00	"BEPA"						
4.00	"A5"	2.00	"ABBA"						
4.00	"A5"	3.00	"ABBA"						
4.00	"A5"	4.00	"ABBA"						
4.00	"A5"	5.00	"ACRU"	"S"	20.00	2.11			
4.00	"A5"	6.00	"ABBA"		24.00	3.50			
4.00	"A5"	7.00	"ABBA"		23.00	3.73			
4.00	"A5"	8.00	"ABBA"					59.00	
4.00	"A5"	9.00	"ABBA"						
4.00	"A5"	10.00	"ACRU"	"S"					
4.00	"A5"	11.00	"ABBA"					58.00	
4.00	"A5"	12.00	"ABBA"		99.00	3.23			
4.00	"A5"	13.00	"ABBA"						
4.00	"A5"	14.00	"ABBA"		116.00	5.61			
4.00	"A5"	15.00	"ABBA"		124.00	1.93			
4.00	"A5"	16.00	"ABBA"		166.00	2.49			
4.00	"A5"	17.00	"ACRU"					57.00	
4.00	"A7"	1.00	"ABBA"						
4.00	"A7"	2.00	"ABBA"						
4.00	"A7"	3.00	"ABBA"		333.00	3.01			
4.00	"A7"	4.00	"ABBA"						
4.00	"A7"	5.00	"ABBA"						
4.00	"A7"	6.00	"ABBA"		352.00	4.86			
4.00	"A7"	7.00	"ABBA"		15.00	4.84			
4.00	"A7"	8.00	"ABBA"						
4.00	"A7"	9.00	"ABBA"		60.00	5.03			
4.00	"A7"	10.00	"ABBA"						
4.00	"A7"	11.00	"ABBA"						
4.00	"A7"	12.00	"ABBA"	"W"					
4.00	"A7"	13.00	"ABBA"						
4.00	"A7"	14.00	"ABBA"		129.00	2.11			
4.00	"A7"	15.00	"PIRU"		177.00	5.34			
4.00	"A7"	16.00	"ABBA"		224.00	4.23			
4.00	"A7"	17.00	"ABBA"		231.00	3.64			
4.00	"A7"	18.00	"ABBA"						
4.00	"A7"	19.00	"ABBA"						
4.00	"A7"	20.00	"ABBA"						
4.00	"A7"	21.00	"PIRU"		298.00	5.54			
4.00	"A7"	22.00	"ABBA"						
4.00	"A7"	23.00	"ABBA"						
4.00	"A7"	24.00	"ABBA"		343.00	5.06			
4.00	"A7"	25.00	"ABBA"		301.00	5.00			
4.00	"A7"	26.00	"ABBA"			5.24			
4.00	"A7"	27.00	"ABBA"						
4.00	"A7"	28.00	"ABBA"						
4.00	"A7"	29.00	"ABBA"		261.00	4.42			
4.00	"A7"	30.00	"ABBA"		316.00	4.50			
4.00	"A7"	31.00	"ABBA"						
4.00	"A7"	32.00	"ABBA"						
4.00	"A7"	33.00	"ABBA"						
4.00	"A7"	34.00	"ABBA"						
4.00	"A7"	35.00	"ABBA"		113.00	3.95			
4.00	"A7"	36.00	"ABBA"		178.00	5.06			
4.00	"A7"	37.00	"ABBA"		246.00	3.88			
4.00	"A7"	38.00	"ABBA"		266.00	4.30			
4.00	"A7"	39.00	"ABBA"		289.00	4.64			
4.00	"A7"	40.00	"ABBA"		332.00	5.28			
4.00	"A7"	41.00	"ABBA"		331.00	4.30			
4.00	"A7"	42.00	"ABBA"		232.00	2.39			
4.00	"A7"	43.00	"ABBA"		261.00	2.22			
4.00	"A8"	1.00	"ABBA"						
4.00	"A8"	2.00	"ABBA"					59.00	
4.00	"A8"	3.00	"ABBA"		330.00	3.29			
4.00	"A8"	4.00	"ABBA"		323.00	3.41		86.00	
4.00	"A8"	6.00	"ABBA"						
4.00	"A8"	7.00	"ABBA"		329.00	4.77			
4.00	"A8"	8.00	"ABBA"		332.00	5.10			
4.00	"A8"	9.00	"ABBA"						
4.00	"A8"	10.00	"ABBA"						
4.00	"A8"	11.00	"ABBA"						
4.00	"A8"	12.00	"ABBA"		27.00	1.59			
4.00	"A8"	13.00	"ALIN"						
4.00	"A8"	14.00	"ABBA"						
4.00	"A8"	15.00	"ABBA"	"W"					
4.00	"A8"	16.00	"ABBA"	"W"	30.00	3.03			
4.00	"A8"	17.00	"ABBA"						
4.00	"A8"	18.00	"ABBA"						
4.00	"A8"	19.00	"ABBA"					60.00	
4.00	"A8"	20.00	"ABBA"		25.00	4.31			
4.00	"A8"	21.00	"ABBA"						
4.00	"A8"	22.00	"ABBA"					72.00	
4.00	"A8"	23.00	"ABBA"						
4.00	"A8"	24.00	"ABBA"		72.00	1.88		79.00	
4.00	"A8"	25.00	"ABBA"						
4.00	"A8"	26.00	"ABBA"						
4.00	"A8"	27.00	"ABBA"					62.00	
4.00	"A8"	28.00	"ABBA"					63.00	
4.00	"A8"	29.00	"ABBA"						
4.00	"A8"	30.00	"ABBA"						
4.00	"A8"	31.00	"ABBA"						
4.00	"A8"	32.00	"ALIN"	"W"					
4.00	"A8"	33.00	"ABBA"		81.00	4.29			
4.00	"A8"	34.00	"ABBA"		94.00	4.67			
4.00	"A8"	35.00	"ABBA"		85.00	5.00			
4.00	"A8"	36.00	"ABBA"		86.00	5.60		84.00	
4.00	"A8"	37.00	"ABBA"						
4.00	"A8"	38.00	"ABBA"		127.00	3.99			
4.00	"A8"	39.00	"ABBA"					64.00	
4.00	"A8"	40.00	"ABBA"		140.00	3.39		85.00	
4.00	"A8"	41.00	"ABBA"						
4.00	"A8"	42.00	"ABBA"					66.00	
4.00	"A8"	43.00	"ABBA"						
4.00	"A8"	44.00	"ABBA"		275.00	4.12			
4.00	"A8"	45.00	"ABBA"						
4.00	"A8"	46.00	"ABBA"						
4.00	"A8"	47.00	"ABBA"						
4.00	"A8"	48.00	"ABBA"						
4.00	"A8"	49.00	"ABBA"						
4.00	"A8"	50.00	"ABBA"						
4.00	"A8"	51.00	"ABBA"					71.00	
4.00	"A8"	52.00	"ABBA"						
4.00	"A8"	53.00	"ABBA"		154.00	5.51			
4.00	"A9"	1.00	"ABBA"		20.00	1.36			
4.00	"A9"	2.00	"ABBA"						
4.00	"A9"	3.00	"ALIN"						
4.00	"A9"	4.00	"ABBA"		350.00	4.80		54.00	
4.00	"A9"	5.00	"ALIN"						
4.00	"A9"	6.00	"ABBA"						
4.00	"A9"	7.00	"ABBA"						
4.00	"A9"	8.00	"ABBA"		90.00	2.05		49.00	
4.00	"A9"	9.00	"ABBA"		95.00	2.90			
4.00	"A9"	10.00	"ABBA"		69.00	2.95			
4.00	"A9"	11.00	"ABBA"		83.00	4.06		50.00	
4.00	"A9"	12.00	"ABBA"						
4.00	"A9"	13.00	"ABBA"		126.00	5.32			
4.00	"A9"	14.00	"ABBA"		136.00	4.98			
4.00	"A9"	15.00	"ABBA"						
4.00	"A9"	16.00	"ABBA"						
4.00	"A9"	17.00	"ABBA"		197.00	3.90		45.00	
4.00	"A9"	18.00	"ABBA"		183.00	4.76			
4.00	"A9"	19.00	"ABBA"		282.00	2.09			
4.00	"A9"	20.00	"ABBA"					48.00	
4.00	"A9"	21.00	"ABBA"		320.00	2.74			
4.00	"A9"	22.00	"ABBA"		306.00	3.93			
4.00	"A9"	23.00	"ABBA"		308.00	4.18			
4.00	"A9"	24.00	"ABBA"		327.00	3.75			
4.00	"A9"	25.00	"ABBA"		317.00	4.83			
4.00	"A9"	26.00	"ABBA"		46.00	4.20			
4.00	"A9"	27.00	"ABBA"		79.00	4.94			
4.00	"A9"	28.00	"ABBA"						
4.00	"A9"	29.00	"ABBA"						
4.00	"A9"	30.00	"ABBA"						
4.00	"A9"	31.00	"ABBA"						
4.00	"A9"	32.00	"ABBA"						
4.00	"A9"	33.00	"ABBA"		168.00	5.66			
4.00	"A9"	34.00	"ABBA"		60.00	1.67			
4.00	"A9"	35.00	"ABBA"		48.00	4.95			
4.00	"A9"	36.00	"ABBA"		57.00	4.72			
4.00	"A9"	37.00	"ABBA"						
4.00	"A9"	38.00	"ABBA"		245.00	4.01			
4.00	"A9"	39.00	"ABBA"						
4.00	"A9"	40.00	"ABBA"		248.00	2.43			
4.00	"A9"	41.00	"ABBA"		346.00	3.08			
4.00	"A9"	42.00	"ABBA"		271.00	4.12			
4.00	"A9"	43.00	"ABBA"		272.00	5.02			
4.00	"A9"	44.00	"ABBA"		187.00	5.21			
4.00	"A9"	45.00	"ABBA"		262.00	5.37			
4.00	"A9"	46.00	"ABBA"		183.00	5.60			
4.00	"A9"	47.00	"ABBA"		335.00	4.76			
4.00	"A9"	48.00	"ABBA"		327.00	5.00			
4.00	"A9"	49.00	"ABBA"		331.00	5.53			
4.00	"A9"	50.00	"ABBA"		323.00	5.31			
4.00	"B10"	1.00	"ABBA"		177.00	0.77			
4.00	"B10"	2.00	"ACSA"		83.00	2.15			
4.00	"B10"	3.00	"ABBA"		117.00	4.33			
4.00	"B10"	4.00	"ABBA"		126.00	4.69			
4.00	"B10"	5.00	"ABBA"		134.00	4.09			
4.00	"B10"	6.00	"ACSA"						
4.00	"B10"	7.00	"ACSA"					51.00	
4.00	"B10"	8.00	"BEAL"		188.00	4.22			
4.00	"B10"	9.00	"ABBA"						
4.00	"B10"	10.00	"ABBA"						
4.00	"B10"	11.00	"ACRU"		328.00	1.61			
4.00	"B10"	12.00	"ABBA"						
4.00	"B10"	13.00	"ABBA"		332.00	3.54			
4.00	"B10"	14.00	"ABBA"		197.00	1.61			
4.00	"B10"	14.00	"TSCA"					50.00	
4.00	"B2"	1.00	"ABBA"		83.00	4.95			
4.00	"B2"	2.00	"ABBA"		185.00	1.34			
4.00	"B2"	3.00	"ABBA"						
4.00	"B2"	4.00	"ACRU"					54.00	
4.00	"B2"	5.00	"TSCA"						
4.00	"B2"	6.00	"ABBA"						
4.00	"B2"	7.00	"ABBA"		162.00	2.73			
4.00	"B2"	8.00	"ABBA"		315.00	1.71			
4.00	"B2"	9.00	"ABBA"		359.00	2.95			
4.00	"B2"	10.00	"ABBA"		15.00	5.11			
4.00	"B2"	11.00	"ABBA"		139.00	2.63			
4.00	"B2"	12.00	"ABBA"		245.00	0.80			
4.00	"B2"	13.00	"ABBA"		218.00	4.91			
4.00	"B3"	1.00	"ABBA"						
4.00	"B3"	2.00	"ABBA"						
4.00	"B3"	3.00	"ABBA"						
4.00	"B3"	4.00	"PIRU"		75.00	2.21			
4.00	"B3"	5.00	"ABBA"		73.00	2.44			
4.00	"B3"	6.00	"ABBA"						
4.00	"B3"	7.00	"ABBA"		72.00	3.50			
4.00	"B3"	8.00	"ABBA"						
4.00	"B3"	9.00	"ABBA"		100.00	4.09			
4.00	"B3"	10.00	"ABBA"						
4.00	"B3"	11.00	"ABBA"		93.00	5.20			
4.00	"B3"	12.00	"ABBA"		109.00	5.17			
4.00	"B3"	13.00	"ABBA"		117.00	5.48			
4.00	"B3"	14.00	"ABBA"		138.00	5.11			
4.00	"B3"	15.00	"ACRU"		142.00	4.46			
4.00	"B3"	16.00	"ABBA"		186.00	3.27			
4.00	"B3"	17.00	"ABBA"		172.00	5.02			
4.00	"B3"	18.00	"ABBA"						
4.00	"B3"	19.00	"ACSA"		205.00	2.89			
4.00	"B3"	20.00	"ABBA"						
4.00	"B3"	21.00	"ABBA"		226.00	4.46			
4.00	"B3"	22.00	"ABBA"		234.00	4.95			
4.00	"B3"	23.00	"ABBA"		242.00	5.43			
4.00	"B3"	24.00	"ABBA"						
4.00	"B3"	25.00	"ABBA"		266.00	4.55			
4.00	"B3"	26.00	"ABBA"		293.00	3.87			
4.00	"B3"	27.00	"ABBA"		260.00	3.43			
4.00	"B3"	28.00	"ABBA"		204.00	5.50			
4.00	"B3"	29.00	"ABBA"		213.00	5.22			
4.00	"B3"	30.00	"ABBA"		331.00	5.37			
4.00	"B3"	31.00	"ABBA"		84.00	3.55			
4.00	"B3"	32.00	"ABBA"		283.00	4.00			
4.00	"B3"	33.00	"ABBA"		215.00	4.30			
4.00	"B3"	34.00	"ABBA"		207.00	4.62			
4.00	"B3"	35.00	"ABBA"		222.00	5.20			
4.00	"B3"	36.00	"ABBA"		147.00	4.67			
4.00	"B3"	37.00	"ABBA"		82.00	5.01			
4.00	"B3"	38.00	"ABBA"		76.00	4.98			
4.00	"B3"	39.00	"ABBA"		74.00	3.42			
4.00	"B3"	40.00	"ABBA"		11.00	0.95			
4.00	"B3"	41.00	"ABBA"		343.00	5.33			
4.00	"B3"	42.00	"ABBA"		354.00	4.15			
4.00	"B3"	43.00	"ABBA"		339.00	2.96			
4.00	"B5"	1.00	"ACRU"						
4.00	"B5"	2.00	"TSCA"						
4.00	"B5"	3.00	"TSCA"		325.00	3.26			
4.00	"B5"	4.00	"TSCA"						
4.00	"B5"	5.00	"TSCA"					99.00	
4.00	"B5"	6.00	"TSCA"						
4.00	"B5"	7.00	"ABBA"						
4.00	"B5"	8.00	"ACRU"	"S"					
4.00	"B5"	9.00	"ACRU"	"S"	39.00	2.89			
4.00	"B5"	10.00	"ACRU"						
4.00	"B5"	11.00	"FAGR"						
4.00	"B5"	12.00	"TSCA"		153.00	1.89			
4.00	"B5"	13.00	"TSCA"		123.00	3.00			
4.00	"B5"	14.00	"TSCA"		135.00	4.13			
4.00	"B5"	15.00	"TSCA"					90.00	
4.00	"B5"	16.00	"TSCA"		221.00	1.45		100.00	
4.00	"B5"	17.00	"ACRU"		121.00	5.19			
4.00	"B5"	18.00	"ACRU"						
4.00	"B6"	1.00	"ABBA"		155.00	0.60			
4.00	"B6"	2.00	"ABBA"						
4.00	"B6"	3.00	"ABBA"						
4.00	"B6"	4.00	"ABBA"					75.00	
4.00	"B6"	5.00	"ACSA"						
4.00	"B6"	6.00	"ABBA"					76.00	
4.00	"B6"	7.00	"ABBA"		209.00	5.40			
4.00	"B6"	8.00	"ACSA"						
4.00	"B6"	9.00	"ACSA"						
4.00	"B6"	10.00	"ACSA"		271.00	2.91			
4.00	"B6"	11.00	"ABBA"		262.00	4.16			
4.00	"B6"	12.00	"ABBA"						
4.00	"B6"	13.00	"ABBA"						
4.00	"B6"	14.00	"ABBA"						
4.00	"B6"	15.00	"ABBA"		350.00	4.16			
4.00	"B6"	16.00	"ABBA"		40.00	5.23			
4.00	"B6"	17.00	"ABBA"		67.00	3.04			
4.00	"B6"	18.00	"ABBA"						
4.00	"B6"	19.00	"ABBA"						
4.00	"B6"	20.00	"ABBA"		109.00	4.51			
4.00	"B6"	21.00	"ABBA"		115.00	3.82			
4.00	"B6"	22.00	"ABBA"		157.00	5.05			
4.00	"B6"	23.00	"ABBA"		244.00	5.55			
4.00	"B6"	24.00	"ABBA"		250.00	5.59			
4.00	"B6"	25.00	"ABBA"		268.00	4.87			
4.00	"B6"	26.00	"TSCA"		306.00	5.16			
4.00	"B6"	27.00	"ABBA"						
4.00	"B6"	28.00	"ABBA"		59.00	4.52			
4.00	"B6"	29.00	"ABBA"		11.00	5.22			
4.00	"B6"	30.00	"ACSA"						
4.00	"B6"	31.00	"ABBA"		114.00	3.95			
4.00	"B6"	32.00	"ABBA"		170.00	5.08			
4.00	"B6"	33.00	"ABBA"		12.00	5.24			
4.00	"B8"	1.00	"TSCA"						
4.00	"B8"	2.00	"TSCA"						
4.00	"B8"	3.00	"ABBA"		332.00	5.09			
4.00	"B8"	3.00	"TSCA"		332.00	5.09			
4.00	"B8"	4.00	"TSCA"					47.00	
4.00	"B8"	5.00	"ABBA"						
4.00	"B8"	6.00	"ACRU"		20.00	3.88			
4.00	"B8"	7.00	"ABBA"		55.00	2.86			
4.00	"B8"	8.00	"PIRU"						
4.00	"B8"	9.00	"ABBA"						
4.00	"B8"	10.00	"ABBA"		97.00	2.74			
4.00	"B8"	11.00	"ABBA"		96.00	2.93			
4.00	"B8"	12.00	"ABBA"		90.00	4.26			
4.00	"B8"	13.00	"ABBA"						
4.00	"B8"	14.00	"ABBA"						
4.00	"B8"	15.00	"ABBA"						
4.00	"B8"	16.00	"ABBA"		140.00	0.95			
4.00	"B8"	17.00	"ABBA"		110.00	5.45			
4.00	"B8"	18.00	"ABBA"		163.00	1.38			
4.00	"B8"	19.00	"ABBA"						
4.00	"B8"	20.00	"ABBA"		127.00	4.89			
4.00	"B8"	21.00	"ABBA"		222.00	4.76			
4.00	"B8"	22.00	"ABBA"						
4.00	"B8"	23.00	"ABBA"		307.00	1.52			
4.00	"B8"	24.00	"ABBA"		356.00	3.07			
4.00	"B8"	25.00	"ABBA"		151.00	4.67			
4.00	"B8"	26.00	"ABBA"		34.10	4.60			
4.00	"C4"	1.00	"ABBA"					48.00	
4.00	"C4"	2.00	"TSCA"		2.00	4.52			
4.00	"C4"	3.00	"TSCA"		32.00	4.98			
4.00	"C4"	4.00	"TSCA"		211.00	4.66			
4.00	"C4"	5.00	"ABBA"		239.00	4.62			
4.00	"C4"	6.00	"ABBA"		94.00	4.84			
4.00	"C7"	1.00	"ABBA"		329.00	2.38			
4.00	"C7"	2.00	"ABBA"					41.00	
4.00	"C7"	4.00	"ABBA"		49.00	3.75			
4.00	"C7"	5.00	"ABBA"						
4.00	"C7"	6.00	"ABBA"		120.00	5.10			
4.00	"C7"	7.00	"PIST"		142.00	4.85			
4.00	"C7"	8.00	"PIST"		161.00	3.10			
4.00	"C7"	9.00	"PIST"		184.00	1.93			
4.00	"C7"	10.00	"ABBA"		238.00	0.66			
4.00	"C7"	11.00	"TSCA"		213.00	2.91			
4.00	"C7"	12.00	"TSCA"		233.00	3.26			
4.00	"C7"	13.00	"BEPA"		226.00	2.52			
4.00	"C7"	14.00	"ACRU"		259.00	2.56			
4.00	"C7"	15.00	"PIST"		261.00	3.63			
4.00	"C7"	16.00	"PIST"		86.00	0.70			
4.00	"C7"	17.00	"TSCA"		225.00	4.14			
4.00	"C7"	18.00	"PIST"		228.00	4.25			
4.00	"C7"	19.00	"ABBA"		157.00	1.87			
4.00	"C7"	20.00	"ABBA"		145.00	1.54			
4.00	"C7"	21.00	"PIST"		174.00	2.95			
4.00	"C7"	22.00	"OSVI"		132.00	3.72			
4.00	"C7"	23.00	"ABBA"		356.00	4.24			
4.00	"C7"	24.00	"PIST"		357.00	5.22			
4.00	"C7"	25.00	"ABBA"		24.00	4.79			
4.00	"C7"	26.00	"ABBA"		61.00	4.90			
4.00	"C7"	27.00	"TSCA"		34.00	2.98			
4.00	"C7"	28.00	"PIST"		5.00	2.80			
4.00	"C7"	29.00	"PIST"		322.00	4.41			
4.00	"C7"	30.00	"ABBA"		329.00	3.92			
4.00	"C7"	31.00	"ABBA"		253.00	3.90			
4.00	"C7"	32.00	"PIST"		250.00	3.28			
4.00	"C7"	33.00	"PIST"		225.00	5.04			
4.00	"C7"	34.00	"ABBA"		209.00	3.15			
4.00	"C7"	35.00	"TSCA"		218.00	1.75			
4.00	"C7"	36.00	"PIST"		193.00	1.33			
4.00	"C7"	37.00	"PIST"		120.00	3.40			
4.00	"C7"	38.00	"ABBA"		142.00	3.94			
4.00	"C7"	39.00	"ABBA"		164.00	5.12			
4.00	"C7"	40.00	"PIST"		171.00	5.42			
4.00	"C7"	41.00	"PIST"		173.00	4.82			
