"RA"	"PLOT"	"DATE"	"CREW"	"OS."	"TREE_CODE"	"INV"	"NT/MT"	"DBH"	"COND"	"CC"	"ST"	"LI"	"LLC"	"HT"	"BAD"	"NOTES"
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	1	"TSCA"	1.00	"NT"	49.50	0.00	"C"						
1.00	"F2"	6/26/2000 0:00:00	"RS, DH, LC"	1	"TSCA"	2.00		52.80	0.00	"D"						
1.00	"F2"	4/1/2005 0:00:00		1	"TSCA"	3.00		52.80	0.00		"C"	2				
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	1	"TSCA"	4.00		53.20	0.00		"B"	3				
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	2	"BEPA"	1.00	"NT"	15.70	0.00	"C"						
1.00	"F2"	6/26/2000 0:00:00	"RS, DH, LC"	2	"BEPA"	2.00		17.20	0.00	"C"						
1.00	"F2"	4/1/2005 0:00:00		2	"BEPA"	3.00		17.90	0.00		"B"	1				
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	2	"BEPA"	4.00		19.30	0.00		"B"	2				
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	3	"BEPA"	1.00	"NT"	18.10	0.00	"C"						
1.00	"F2"	6/26/2000 0:00:00	"RS, DH, LC"	3	"BEPA"	2.00		19.40	0.00	"C"						
1.00	"F2"	4/1/2005 0:00:00		3	"BEPA"	3.00		21.20	0.00		"B"	1				
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	3	"BEPA"	4.00			9.00							
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	4	"ACRU"	1.00	"NT"	12.00	0.00	"I"						
1.00	"F2"	6/26/2000 0:00:00	"RS, DH, LC"	4	"ACRU"	2.00		12.10	0.00	"I"						
1.00	"F2"	4/1/2005 0:00:00		4	"ACRU"	3.00		12.30	0.00		"B"	0				
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	4	"ACRU"	4.00			9.00							
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	5	"ACRU"	1.00	"NT"	15.90	0.00	"I"						
1.00	"F2"	6/26/2000 0:00:00	"RS, DH, LC"	5	"ACRU"	2.00		14.40	0.00	"C"						
1.00	"F2"	4/1/2005 0:00:00		5	"ACRU"	3.00		16.60	0.00		"B"	1				
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	5	"ACRU"	4.00			9.00							
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	6	"BEPA"	1.00	"NT"	14.30	0.00	"I"						
1.00	"F2"	6/26/2000 0:00:00	"RS, DH, LC"	6	"BEPA"	2.00		14.90	0.00	"C"						
1.00	"F2"	4/1/2005 0:00:00		6	"BEPA"	3.00		15.20	0.00		"B"	0				
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	6	"BEPA"	4.00		15.90	0.00		"B"	1				
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	7	"BEPA"	1.00	"NT"	17.70	0.00	"C"						
1.00	"F2"	6/26/2000 0:00:00	"RS, DH, LC"	7	"BEPA"	2.00		19.80	0.00	"D"						
1.00	"F2"	4/1/2005 0:00:00		7	"BEPA"	3.00		20.80	0.00		"B"	2				
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	7	"BEPA"	4.00		22.10	0.00		"B"	2				
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	8	"FAGR"	1.00	"NT"	9.80	2.00	"O"						
1.00	"F2"	6/26/2000 0:00:00	"RS, DH, LC"	8	"FAGR"	2.00		11.10	2.00	"I"						
1.00	"F2"	4/1/2005 0:00:00		8	"FAGR"	3.00		12.40	24.00		"C"	0				
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	8	"FAGR"	4.00		14.40	0.00		"B"	2	15	23		
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	9	"ACRU"	1.00	"NT"	19.70	0.00	"C"						
1.00	"F2"	6/26/2000 0:00:00	"RS, DH, LC"	9	"ACRU"	2.00		21.20	0.00	"C"						
1.00	"F2"	4/1/2005 0:00:00		9	"ACRU"	3.00		22.80	0.00		"B"	2				
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	9	"ACRU"	4.00		26.00	0.00		"B"	4				
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	10	"ACRU"	1.00	"NT"	19.90	0.00	"C"						
1.00	"F2"	6/26/2000 0:00:00	"RS, DH, LC"	10	"ACRU"	2.00		22.50	0.00	"C"						
1.00	"F2"	4/1/2005 0:00:00		10	"ACRU"	3.00		24.10	0.00		"B"	2				
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	10	"ACRU"	4.00		28.30	0.00		"B"	4				
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	11	"BEPA"	1.00	"NT"	14.40	0.00	"C"						
1.00	"F2"	6/26/2000 0:00:00	"RS, DH, LC"	11	"BEPA"	2.00		15.10	0.00	"C"						
1.00	"F2"	4/1/2005 0:00:00		11	"BEPA"	3.00		15.30	0.00		"B"	3				
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	11	"BEPA"	4.00		15.80	0.00		"B"	4				
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	12	"ABBA"	1.00	"NT"	23.60	4.00	"C"						
1.00	"F2"	4/1/2000 0:00:00		12	"ABBA"	2.00			8.00							
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	13	"ABBA"	1.00	"NT"	23.70	4.00	"C"						
1.00	"F2"	4/1/2000 0:00:00		13	"ABBA"	2.00			8.00							
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	14	"ACRU"	1.00	"NT"	13.20	0.00	"I"						
1.00	"F2"	6/26/2000 0:00:00	"RS, DH, LC"	14	"ACRU"	2.00		13.60	0.00	"C"						
1.00	"F2"	4/1/2005 0:00:00		14	"ACRU"	3.00		16.10	0.00		"B"	2				
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	14	"ACRU"	4.00		15.80	0.00		"B"	2	11	17		
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	15	"TSCA"	1.00	"NT"	46.00	0.00	"C"						
1.00	"F2"	6/26/2000 0:00:00	"RS, DH, LC"	15	"TSCA"	2.00		48.50	0.00	"D"						
1.00	"F2"	4/1/2005 0:00:00		15	"TSCA"	3.00		49.20	0.00		"B"	1				
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	15	"TSCA"	4.00		50.20	0.00		"B"	3				
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	16	"TSCA"	1.00	"NT"	43.90	0.00	"C"						
1.00	"F2"	6/26/2000 0:00:00	"RS, DH, LC"	16	"TSCA"	2.00		47.10	0.00	"D"						
1.00	"F2"	4/1/2005 0:00:00		16	"TSCA"	3.00		47.00	0.00		"B"	2				
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	16	"TSCA"	4.00		48.60	0.00		"B"	4				
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	17	"TSCA"	1.00	"NT"	36.30	0.00	"I"						
1.00	"F2"	6/26/2000 0:00:00	"RS, DH, LC"	17	"TSCA"	2.00		37.90	0.00	"C"						
1.00	"F2"	4/1/2005 0:00:00		17	"TSCA"	3.00		37.90	0.00		"B"	1				
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	17	"TSCA"	4.00		39.00	0.00		"B"	3				
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	18	"TSCA"	1.00	"NT"	20.50	0.00	"O"						
1.00	"F2"	6/26/2000 0:00:00	"RS, DH, LC"	18	"TSCA"	2.00		21.00	0.00	"I"						
1.00	"F2"	4/1/2005 0:00:00		18	"TSCA"	3.00			9.00							
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	18	"TSCA"	4.00			9.00							
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	19	"TSCA"	1.00	"NT"	41.70	0.00	"C"						
1.00	"F2"	6/26/2000 0:00:00	"RS, DH, LC"	19	"TSCA"	2.00		43.00	0.00	"C"						
1.00	"F2"	4/1/2005 0:00:00		19	"TSCA"	3.00		45.10	0.00		"B"	2				
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	19	"TSCA"	4.00		45.90	0.00		"B"	4	13	25		
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	20	"BEPA"	1.00	"NT"	20.40	0.00	"C"						
1.00	"F2"	4/1/2000 0:00:00		20	"BEPA"	2.00			8.00							
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	21	"BEPA"	1.00	"NT"	10.00	0.00	"C"						
1.00	"F2"	4/1/2005 0:00:00		21	"BEPA"	2.00			8.00							
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	22	"BEPA"	1.00	"NT"	18.10	0.00	"C"						
1.00	"F2"	4/1/2005 0:00:00		22	"BEPA"	2.00			8.00							
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	23	"BEPA"	1.00	"NT"	18.80	0.00	"O"						
1.00	"F2"	4/1/2005 0:00:00		23	"BEPA"	2.00			8.00							
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	24	"TSCA"	1.00	"NT"	10.30	0.00	"O"						
1.00	"F2"	6/26/2000 0:00:00	"RS, DH, LC"	24	"TSCA"	2.00		10.80	0.00	"I"						
1.00	"F2"	4/1/2005 0:00:00		24	"TSCA"	3.00		10.90	0.00		"C"	0				
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	24	"TSCA"	4.00		11.40	0.00		"C"	1				
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	25	"TSCA"	1.00	"NT"	43.30	0.00	"C"						
1.00	"F2"	6/26/2000 0:00:00	"RS, DH, LC"	25	"TSCA"	2.00		45.10	0.00	"D"						
1.00	"F2"	4/1/2005 0:00:00		25	"TSCA"	3.00		45.10	0.00		"B"	2				
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	25	"TSCA"	4.00		46.60	0.00		"B"	4				
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	26	"BEPA"	1.00	"NT"	10.70	4.00	"O"						
1.00	"F2"	4/1/2005 0:00:00		26	"BEPA"	3.00			9.00							
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	26	"BEPA"	4.00			9.00							
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	27	"TSCA"	1.00	"NT"	27.40	0.00	"I"						
1.00	"F2"	6/26/2000 0:00:00	"RS, DH, LC"	27	"TSCA"	2.00		27.80	0.00	"C"						
1.00	"F2"	4/1/2005 0:00:00		27	"TSCA"	3.00			9.00							
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	27	"TSCA"	4.00			9.00							
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	28	"TSCA"	1.00	"NT"	24.90	0.00	"O"						
1.00	"F2"	6/26/2000 0:00:00	"RS, DH, LC"	28	"TSCA"	2.00		27.20	0.00	"C"						
1.00	"F2"	4/1/2005 0:00:00		28	"TSCA"	3.00		27.20	0.00		"B"	1				
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	28	"TSCA"	4.00		27.80	0.00		"B"	3				
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	29	"TSCA"	1.00	"NT"	42.50	0.00	"C"						
1.00	"F2"	6/26/2000 0:00:00	"RS, DH, LC"	29	"TSCA"	2.00		43.80	0.00	"C"						
1.00	"F2"	4/1/2005 0:00:00		29	"TSCA"	3.00		44.50	0.00		"B"	3				
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	29	"TSCA"	4.00		45.00	0.00		"B"	4	10	23		
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	30	"TSCA"	1.00	"NT"	31.00	0.00	"C"						
1.00	"F2"	6/26/2000 0:00:00	"RS, DH, LC"	30	"TSCA"	2.00		33.30	0.00	"C"						
1.00	"F2"	4/1/2005 0:00:00		30	"TSCA"	3.00		35.00	0.00		"B"	1				
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	30	"TSCA"	4.00		35.80	0.00		"B"	2				
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	31	"TSCA"	1.00	"NT"	31.30	0.00	"I"						
1.00	"F2"	6/26/2000 0:00:00	"RS, DH, LC"	31	"TSCA"	2.00		31.90	0.00	"C"						
1.00	"F2"	4/1/2005 0:00:00		31	"TSCA"	3.00		32.20	0.00		"B"	2				
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	31	"TSCA"	4.00		33.90	0.00		"B"	3				
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	32	"BEPA"	1.00	"NT"	10.70	0.00	"I"						
1.00	"F2"	6/26/2000 0:00:00	"RS, DH, LC"	32	"BEPA"	2.00		11.10	0.00	"C"						
1.00	"F2"	4/1/2005 0:00:00		32	"BEPA"	3.00			9.00							
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	32	"BEPA"	4.00			9.00							
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	33	"PIRU"	1.00	"NT"	10.00	0.00	"O"						
1.00	"F2"	6/26/2000 0:00:00	"RS, DH, LC"	33	"PIRU"	2.00		9.90	0.00	"I"						
1.00	"F2"	4/1/2005 0:00:00		33	"PIRU"	3.00		10.00	0.00		"C"	0				
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	33	"PIRU"	4.00		10.50	0.00		"C"	1				
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	34	"POGR"	1.00	"NT"	14.40	0.00	"C"						
1.00	"F2"	6/26/2000 0:00:00	"RS, DH, LC"	34	"POGR"	2.00			9.00							
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	35	"BEPA"	1.00	"NT"	16.70	0.00	"C"						
1.00	"F2"	6/26/2000 0:00:00	"RS, DH, LC"	35	"BEPA"	2.00		18.00	0.00	"C"						
1.00	"F2"	4/1/2005 0:00:00		35	"BEPA"	3.00		18.60	0.00		"B"	3				
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	35	"BEPA"	4.00		20.40	0.00		"B"	5	13	20		
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	36	"BEPA"	1.00	"NT"	18.80	0.00	"C"						
1.00	"F2"	6/26/2000 0:00:00	"RS, DH, LC"	36	"BEPA"	2.00		21.30	0.00	"D"						
1.00	"F2"	4/1/2005 0:00:00		36	"BEPA"	3.00		22.20	0.00		"C"	1				
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	36	"BEPA"	4.00		24.20	0.00		"B"	3				
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	37	"TSCA"	1.00	"NT"	51.10	0.00	"C"						
1.00	"F2"	6/26/2000 0:00:00	"RS, DH, LC"	37	"TSCA"	2.00		53.70	0.00	"D"						
1.00	"F2"	4/1/2005 0:00:00		37	"TSCA"	3.00		55.00	0.00		"B"	3				
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	37	"TSCA"	4.00			9.00							
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	38	"ACRU"	4.00	"NT"	10.50	0.00		"B"	4				
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	39	"ACRU"	4.00	"NT"	10.40	0.00		"B"	3				
1.00	"F3"	6/19/1995 0:00:00	"KB, MN, DS, TT, MM"	1	"PIRU"	1.00	"NT"	9.60	4.00	"O"						
1.00	"F3"	4/1/2005 0:00:00		1	"PIRU"	2.00			8.00							
1.00	"F3"	6/19/1995 0:00:00	"KB, MN, DS, TT, MM"	2	"BEPA"	1.00	"NT"	21.50	0.00	"C"						
1.00	"F3"	4/1/2000 0:00:00		2	"BEPA"	2.00			8.00							
1.00	"F3"	6/19/1995 0:00:00	"KB, MN, DS, TT, MM"	3	"ABBA"	1.00	"NT"	15.30	4.00	"I"						
1.00	"F3"	4/1/2000 0:00:00		3	"ABBA"	2.00			8.00							
1.00	"F3"	6/19/1995 0:00:00	"KB, MN, DS, TT, MM"	4	"ABBA"	1.00	"NT"	19.50	0.00	"I"						
1.00	"F3"	4/1/2000 0:00:00		4	"ABBA"	2.00			8.00							
1.00	"F3"	6/19/1995 0:00:00	"KB, MN, DS, TT, MM"	5	"TSCA"	1.00	"NT"	11.10	0.00	"O"						
1.00	"F3"	4/1/2000 0:00:00		5	"TSCA"	2.00			8.00							
1.00	"F3"	6/19/1995 0:00:00	"KB, MN, DS, TT, MM"	6	"TSCA"	1.00	"NT"	55.50	0.00	"C"						
1.00	"F3"	6/26/2000 0:00:00	"RS, DH, LC"	6	"TSCA"	2.00		55.20	0.00	"C"						
1.00	"F3"	4/1/2005 0:00:00		6	"TSCA"	3.00		56.80	0.00		"A"	4				
1.00	"F3"	6/8/2010 0:00:00	"HV;JA;KB;BR;AR"	6	"TSCA"	4.00			7.00							
1.00	"F3"	6/19/1995 0:00:00	"KB, MN, DS, TT, MM"	7	"TSCA"	1.00	"NT"	10.20	0.00	"O"						
1.00	"F3"	6/26/2000 0:00:00	"RS, DH, LC"	7	"TSCA"	2.00		12.60	0.00	"I"						
1.00	"F3"	4/1/2005 0:00:00		7	"TSCA"	3.00		13.80	0.00		"C"	0				
1.00	"F3"	6/8/2010 0:00:00	"HV;JA;KB;BR;AR"	7	"TSCA"	4.00			7.00							
1.00	"F3"	6/19/1995 0:00:00	"KB, MN, DS, TT, MM"	8	"ABBA"	1.00	"NT"	14.80	0.00	"I"						
1.00	"F3"	4/1/2000 0:00:00		8	"ABBA"	2.00			89.00							
1.00	"F3"	4/1/2005 0:00:00		8	"ABBA"	3.00			9.00							
1.00	"F3"	6/8/2010 0:00:00	"HV;JA;KB;BR;AR"	8	"ABBA"	4.00			9.00							
1.00	"F3"	6/19/1995 0:00:00	"KB, MN, DS, TT, MM"	9	"ABBA"	1.00	"NT"	15.40	0.00	"O"						
1.00	"F3"	6/26/2000 0:00:00	"RS, DH, LC"	9	"ABBA"	2.00			89.00							
1.00	"F3"	6/19/1995 0:00:00	"KB, MN, DS, TT, MM"	10	"ACRU"	1.00	"NT"	10.50	0.00	"I"						
1.00	"F3"	6/26/2000 0:00:00	"RS, DH, LC"	10	"ACRU"	2.00		11.60	0.00	"C"						
1.00	"F3"	4/1/2005 0:00:00		10	"ACRU"	3.00		12.60	0.00		"B"	0				
1.00	"F3"	6/8/2010 0:00:00	"HV;JA;KB;BR;AR"	10	"ACRU"	4.00			7.00							
1.00	"F3"	6/19/1995 0:00:00	"KB, MN, DS, TT, MM"	11	"ABBA"	1.00	"NT"	17.70	0.00	"I"						
1.00	"F3"	4/1/2005 0:00:00		11	"ABBA"	2.00			8.00							
1.00	"F3"	6/19/1995 0:00:00	"KB, MN, DS, TT, MM"	12	"ABBA"	1.00	"NT"	18.50	0.00	"I"						
1.00	"F3"	4/1/2005 0:00:00		12	"ABBA"	2.00			8.00							
1.00	"F3"	6/19/1995 0:00:00	"KB, MN, DS, TT, MM"	13	"ABBA"	1.00	"NT"	24.40	0.00	"C"						
1.00	"F3"	4/1/2005 0:00:00		13	"ABBA"	2.00			8.00							
1.00	"F3"	6/19/1995 0:00:00	"KB, MN, DS, TT, MM"	14	"BEPA"	1.00	"NT"	11.20	0.00	"I"						
1.00	"F3"	6/26/2000 0:00:00	"RS, DH, LC"	14	"BEPA"	2.00		12.60	0.00	"C"					"DBH"	
1.00	"F3"	4/1/2005 0:00:00		14	"BEPA"	3.00		12.30	5.00		"B"	2				
1.00	"F3"	6/8/2010 0:00:00	"HV;JA;KB;BR;AR"	14	"BEPA"	4.00			7.00							
1.00	"F3"	6/19/1995 0:00:00	"KB, MN, DS, TT, MM"	15	"BEPA"	1.00	"NT"	15.20	0.00	"C"						
1.00	"F3"	6/26/2000 0:00:00	"RS, DH, LC"	15	"BEPA"	2.00		15.90	0.00	"C"						
1.00	"F3"	4/1/2005 0:00:00		15	"BEPA"	3.00		15.80	0.00		"B"	3				
1.00	"F3"	6/8/2010 0:00:00	"HV;JA;KB;BR;AR"	15	"BEPA"	4.00			7.00							
1.00	"F3"	6/19/1995 0:00:00	"KB, MN, DS, TT, MM"	16	"BEPA"	1.00	"NT"	17.30	0.00	"C"						
1.00	"F3"	6/26/2000 0:00:00	"RS, DH, LC"	16	"BEPA"	2.00		18.60	0.00	"C"						
1.00	"F3"	4/1/2005 0:00:00		16	"BEPA"	3.00		18.00	0.00		"B"	2				
1.00	"F3"	6/8/2010 0:00:00	"HV;JA;KB;BR;AR"	16	"BEPA"	4.00			7.00							
1.00	"F3"	6/19/1995 0:00:00	"KB, MN, DS, TT, MM"	17	"TSCA"	1.00	"NT"	51.00	0.00	"C"						
1.00	"F3"	6/26/2000 0:00:00	"RS, DH, LC"	17	"TSCA"	2.00		54.00	0.00	"C"						
1.00	"F3"	4/1/2005 0:00:00		17	"TSCA"	3.00		54.40	2.00		"A"	2				
1.00	"F3"	6/8/2010 0:00:00	"HV;JA;KB;BR;AR"	17	"TSCA"	4.00		58.80	0.00		"A"	4				
1.00	"F3"	6/19/1995 0:00:00	"KB, MN, DS, TT, MM"	18	"ACRU"	1.00	"NT"	14.00	0.00	"I"						
1.00	"F3"	6/26/2000 0:00:00	"RS, DH, LC"	18	"ACRU"	2.00		16.40	0.00	"C"						
1.00	"F3"	4/1/2005 0:00:00		18	"ACRU"	3.00		16.60	0.00		"B"	3				
1.00	"F3"	6/8/2010 0:00:00	"HV;JA;KB;BR;AR"	18	"ACRU"	4.00			7.00							
1.00	"F3"	6/19/1995 0:00:00	"KB, MN, DS, TT, MM"	19	"ABBA"	1.00	"NT"	15.50	0.00	"I"						
1.00	"F3"	4/1/2000 0:00:00		19	"ABBA"	2.00			89.00							
1.00	"F3"	4/1/2005 0:00:00		19	"ABBA"	3.00			9.00							
1.00	"F3"	6/8/2010 0:00:00	"HV;JA;KB;BR;AR"	19	"ABBA"	4.00			9.00							
1.00	"F3"	6/19/1995 0:00:00	"KB, MN, DS, TT, MM"	20	"ACRU"	1.00	"NT"	10.30	0.00	"I"						
1.00	"F3"	6/26/2000 0:00:00	"RS, DH, LC"	20	"ACRU"	2.00		10.80	0.00	"C"						
1.00	"F3"	4/1/2005 0:00:00		20	"ACRU"	3.00		10.50	0.00		"B"	1				
1.00	"F3"	6/8/2010 0:00:00	"HV;JA;KB;BR;AR"	20	"ACRU"	4.00			7.00							
1.00	"F3"	6/19/1995 0:00:00	"KB, MN, DS, TT, MM"	21	"ACRU"	1.00	"NT"	11.50	0.00	"I"						
1.00	"F3"	6/26/2000 0:00:00	"RS, DH, LC"	21	"ACRU"	2.00		11.90	0.00	"C"						
1.00	"F3"	4/1/2005 0:00:00		21	"ACRU"	3.00		12.50	0.00		"B"	1				
1.00	"F3"	6/8/2010 0:00:00	"HV;JA;KB;BR;AR"	21	"ACRU"	4.00			7.00							
1.00	"F3"	6/19/1995 0:00:00	"KB, MN, DS, TT, MM"	22	"BEPA"	1.00	"NT"	11.20	0.00	"I"						
1.00	"F3"	6/26/2000 0:00:00	"RS, DH, LC"	22	"BEPA"	2.00			9.00							
1.00	"F3"	6/19/1995 0:00:00	"KB, MN, DS, TT, MM"	23	"ACSA"	1.00	"NT"	12.10	0.00	"I"						
1.00	"F3"	6/26/2000 0:00:00	"RS, DH, LC"	23	"ACSA"	2.00		12.40	0.00	"C"						
1.00	"F3"	4/1/2005 0:00:00		23	"ACSA"	3.00		12.80	0.00		"B"	1				
1.00	"F3"	6/8/2010 0:00:00	"HV;JA;KB;BR;AR"	23	"ACSA"	4.00			7.00							
1.00	"F3"	6/19/1995 0:00:00	"KB, MN, DS, TT, MM"	24	"BEPA"	1.00	"NT"	18.40	0.00	"C"						
1.00	"F3"	6/26/2000 0:00:00	"RS, DH, LC"	24	"BEPA"	2.00		20.20	0.00	"C"						
1.00	"F3"	4/1/2005 0:00:00		24	"BEPA"	3.00		20.20	0.00		"B"	1				
1.00	"F3"	6/8/2010 0:00:00	"HV;JA;KB;BR;AR"	24	"BEPA"	4.00			7.00							
1.00	"F3"	6/19/1995 0:00:00	"KB, MN, DS, TT, MM"	25	"BEPA"	1.00	"NT"	12.40	4.00	"I"						
1.00	"F3"	4/1/2000 0:00:00		25	"BEPA"	2.00			8.00							
1.00	"F3"	6/19/1995 0:00:00	"KB, MN, DS, TT, MM"	26	"ACRU"	1.00	"NT"	16.30	0.00	"I"						
1.00	"F3"	6/26/2000 0:00:00	"RS, DH, LC"	26	"ACRU"	2.00		18.90	0.00	"C"					"DBH"	
1.00	"F3"	4/1/2005 0:00:00		26	"ACRU"	3.00		18.50	0.00		"B"	2				
1.00	"F3"	6/8/2010 0:00:00	"HV;JA;KB;BR;AR"	26	"ACRU"	4.00			7.00							
1.00	"F3"	6/19/1995 0:00:00	"KB, MN, DS, TT, MM"	27	"TSCA"	1.00	"NT"	35.40	0.00	"C"						
1.00	"F3"	6/26/2000 0:00:00	"RS, DH, LC"	27	"TSCA"	2.00		39.10	0.00	"C"						
1.00	"F3"	4/1/2005 0:00:00		27	"TSCA"	3.00		40.50	0.00		"B"	3				
1.00	"F3"	6/8/2010 0:00:00	"HV;JA;KB;BR;AR"	27	"TSCA"	4.00			7.00							
1.00	"F3"	6/19/1995 0:00:00	"KB, MN, DS, TT, MM"	28	"ABBA"	1.00	"NT"	26.50	0.00	"C"						
1.00	"F3"	4/1/2000 0:00:00		28	"ABBA"	2.00			8.00							
1.00	"F3"	6/19/1995 0:00:00	"KB, MN, DS, TT, MM"	29	"ACRU"	1.00	"NT"	10.50	0.00	"I"						
1.00	"F3"	4/1/2000 0:00:00		29	"ACRU"	2.00			8.00							
1.00	"F3"	4/1/2005 0:00:00		29	"ACRU"	3.00		12.10	2.00		"B"	1				
1.00	"F3"	6/8/2010 0:00:00	"HV;JA;KB;BR;AR"	29	"ACRU"	4.00			7.00							
1.00	"F3"	6/19/1995 0:00:00	"KB, MN, DS, TT, MM"	30	"FAGR"	1.00	"NT"	12.00	2.00	"O"						
1.00	"F3"	6/26/2000 0:00:00	"RS, DH, LC"	30	"FAGR"	2.00		13.90	2.00	"I"						
1.00	"F3"	4/1/2005 0:00:00		30	"FAGR"	3.00	"MT"	14.00	234.00		"B"	0				
1.00	"F3"	6/8/2010 0:00:00	"HV;JA;KB;BR;AR"	30	"FAGR"	4.00			7.00							
1.00	"F3"	6/19/1995 0:00:00	"KB, MN, DS, TT, MM"	31	"BEPA"	1.00	"NT"	14.00	0.00	"C"						
1.00	"F3"	6/26/2000 0:00:00	"RS, DH, LC"	31	"BEPA"	2.00		16.50	0.00	"C"						
1.00	"F3"	4/1/2005 0:00:00		31	"BEPA"	3.00		16.90	0.00		"B"	3				
1.00	"F3"	6/8/2010 0:00:00	"HV;JA;KB;BR;AR"	31	"BEPA"	4.00			7.00							
1.00	"F3"	6/19/1995 0:00:00	"KB, MN, DS, TT, MM"	32	"ACRU"	1.00	"NT"	12.50	0.00	"C"						
